gene_locus	common_name
Z1977	ychM
Z1060	Z1060
Z4589	rplM
Z2636	rsxC
Z6061	Z6061
Z5501	talC
Z5500	gldA
Z3713	cchA
Z4461	yhaL
Z5731	ghoT
Z0593	ybaC
Z4619	prmA
Z5502	ptsA
Z4597	yhcN
Z4726	nirB
Z4859	Z4859
Z1092	artQ
Z2423	ydaK
Z4529	infB
Z5636	yjbI
Z4762	yhgF
Z0762	citC
Z1015	ybhG
Z4418	rpsU
Z2644	nth
Z0907	tolA
Z5349	metR
Z0154	pcnB
Z1516	uncharacterized
Z3714	eutI
Z4861	Z4861
Z5824	cpdB
Z5021	yibH
Z0914	valZ
Z3780	yfgB
Z4357	Z4357
Z3200	per
Z5756	blc
Z4855	Z4855
Z5841	yjfF
Z3491	nrdB
Z3043	Z3043
Z0400	betI
Z0800	ybeW
Z0153	folK
Z4882	Z4882
Z2679	ydhP
Z5720	melR
Z2223	ddpA
Z1256	cmk
Z4708	yheV
Z4770	gntT
Z5049	waaL
Z5231	atpG
Z5772	glyY
Z5394	yihG
Z0925	gpmA
Z2476	Z2476
Z0128	acnB
Z3846	recO
Z0828	ECs0711
Z3717	Z3717
Z2929	argS
Z2290	ydcK
Z5117	uncharacterized
Z3917	uncharacterized
Z3384	yohC
Z1845	Z1845
Z3156	Z3156
Z5443	frvA
Z2256	AIG68374.1
Z5894	Z5894
Z2713	ydiH
Z1862	ycfB/mnmA
Z4920	yhiD
Z2541	yciL
Z2664	Z2664
Z4527	truB
Z3624	Z3624
Z2820	yeaD
Z2863	yobD
Z3821	yphE
Z3215	wcaH
Z5052	waaY
Z2661	sodC
Z2361	AIG67484.1
Z3081	Z3081
Z4351	hybO
Z0805	ybeJ
Z3634	Z3634
Z0947	uncharacterized
Z3191	gnd
Z0433	codA
Z2981	Z2981
Z0912	valT
Z1799	AIG68476.1
Z0736	entE
Z0913	lysW
Z3198	gmd
Z0414	ECs_5377
Z2963	tyrP
Z5008	aldB
Z5847	nrdG
Z3992	argQ
Z0904	ybgC
Z4054	ygbB/ispF
Z3195	manC
Z5039	yibO/gpmI
Z3523	yfbB
Z5417	yihS
Z2958	uncharacterized
Z5721	melA
Z2633	rsxA
Z2367	Z2367
Z4607	mreD
Z0110	uncharacterized
Z4522	mtr
Z0566	ybaZ
Z3681	ptsH
Z0130	speD
Z3559	pta
Z0405	Z0405
Z0196	dnaE
Z5819	cycA
Z2605	Z2605
Z4095	pyrG
Z0872	ybgD
Z2590	ynfM
Z4135	argA
Z1983	hemK
Z5628	yjbA
Z5305	wecF
Z5629	xylE
Z3790	pepB
Z3603	Z3603
Z2694	Z2694
Z0425	yahO
Z3420	yeiL
Z5324	uncharacterized
Z5717	yjdE
Z4630	yhdX
Z0164	fhuB
Z0735	entC
Z2563	Z2563
Z3645	ypdA
Z0905	tolQ
Z0781	mrdA
Z4069	Z4069
Z4629	yhdW
Z4553	yrbA
Z3995	argY
Z0080	leuD
Z3115	Z3115
Z1460	AIG67576.1
Z3428	yeiO
Z5166	ivbL
Z4936	yhjE
Z4528	rbfA
Z0742	ybdH
Z4035	hypA
Z3023	Z3023
Z0206	proS
Z2768	celA
Z2822	yeaF
Z1865	icdA
Z4854	acpP
Z4488	Z4488
Z5241	gidA
Z4993	xylH
Z5678	fdhF
Z1831	potA
Z0541	tig
Z4131	metZ
Z3021	yedK
Z1738	holB
Z4931	yhjA
Z1960	ymgE
Z3818	yphC_1
Z3566	Z3566
Z1418	cbpA
Z5470	glpX
Z5408	yihL
Z0480	psiF
Z4237	yqfA
Z4192	eivJ1
Z4543	greA
Z4082	Z4082
Z3003	yecF
Z3958	ygaF
Z3693	yfeU
Z3433	lpxT
Z5422	yihW
Z3258	gatZ
Z0406	yahC
Z5411	yshA
Z5820	ytfE
Z5140	Z5140
Z2611	tus
Z1261	ycaH
Z2594	mdtJ
Z2864	mntP
Z5118	Z5118
Z4022	ascG
Z2180	yneG
Z5609	iclR
Z1686	msyB
Z5161	uncharacterized
Z3996	argV
Z2816	Z2816
Z2983	AIG69074.1
Z5825	cysQ
Z0751	ybdQ
Z5157	uhpC
Z1520	ycdO
Z4893	pitA
Z5503	yijI
Z4437	ygjO
Z5303	wzxE
Z4427	ygjH
Z5895	Z5895
Z3682	ptsI
Z5599	metA
Z3145	asnU
Z3819	yphD
Z6032	Z6032
Z2746	rpmI
Z1298	ycbY
Z1403	ymcC
Z0108	secA
Z4618	panF
Z4151	ygdR
Z4000	AIG70018.1
Z1057	Z1057
Z3986	emrA
Z4907	Z4907
Z4888	Z4888
Z4150	ygdQ
Z5416	yihR
Z3981	proX
Z5644	yjbJ
Z1244	ycaD
Z4141	ygdB
Z5050	waaD
Z5077	spoU
Z0134	gcd
Z0791	ybeQ
Z5436	fdoG
Z2425	ydaJ
Z5051	waaJ
Z1119	clpA
Z0228	aspU
Z5700	phnK
Z5836	chpB
Z0815	metU
Z5023	mtlA
Z1300	pqiA
Z0539	bolA
Z5066	pyrE
Z5803	sgaB
Z1731	fabD
Z0738	entA
Z3250	yegQ
Z5306	wecG
Z3964	ygaU
Z3558	ackA
Z0028	Z0028
Z2486	goaG
Z0908	tolB
Z0081	leuC
Z2877	prc
Z0984	Z0984
Z5896	Z5896
Z3194	manB
Z3203	wzy
Z5826	ytfI
Z5467	yiiS
Z4549	rplU
Z5521	udhA
Z4530	nusA
Z4343	Z4343
Z5263	gltU
Z0003	thrB
Z0810	yleA
Z4547	rpmA
Z1051	Z1051
Z2150	Z2150
Z5579	hydH
Z3774	der
Z1974	ychF
Z2149	Z2149
Z5709	phnB
Z0846	ybfA
Z3925	Z3925
Z2197	hipA
Z2857	sdaA
Z1519	efeU
Z3234	udk
Z4731	yhfM
Z4075	ygcM
Z3623	Z3623
Z2437	ynaI
Z1073	ECs0926
Z2628	add
Z4277	cmtA
Z4365	yqhE
Z5837	ppa
Z1299	uup
Z4136	recD
Z5710	phnA
Z0067	rapA
Z5903	uncharacterized
Z0715	pheP
Z2173	ydeA
Z5229	atpC
Z1549	Z1549
Z4578	yhcG
Z3395	Z3395
Z1703	rimJ
Z5175	yidL
Z3444	rplY
Z3520	menE
Z2147	Z2147
Z1684	mdoH
Z5555	nusG
Z5302	wecE
Z5149	yicM
Z2489	ycjC
Z2850	yeaZ
Z3985	emrR
Z1552	Z1552
Z1730	fabH
Z0109	mutT
Z2171	marR
Z0492	yaiD
Z2994	uncharacterized
Z5208	yieF
Z3493	inaA
Z3109	ECs2749
Z3663	yfeD
Z2286	ECs2038
Z0870	AIG66986.1
Z5053	waaI
Z5450	rhaR
Z3850	lepB
Z0910	ybgF
Z3565	folX
Z4285	yqgC
Z2255	Z2255
Z5230	atpD
Z3302	yehT
Z1405	cspH
Z3919	Z3919
Z3431	yeiQ
Z2186	tam
Z1306	ycbG
Z1054	gsiB
Z4445	uxaC
Z0737	entB
Z1729	plsX
Z1711	flgB
Z3114	Z3114
Z4435	ygjM
Z1685	yceK
Z4251	serA
Z2472	ycjO
Z3792	fdx
Z5301	wecD
Z2274	uncharacterized
Z5300	rffH
Z3965	yqaE
Z2387	ECs1954
Z1034	dps
Z6057	UNKNOWN
Z0190	hlpA
Z3251	yegR
Z5153	ECs4600
Z1026	fiu
Z5552	thrT
Z5354	yigN
Z0438	lacA
Z1037	ybiP
Z0114	guaC
Z0930	modF
Z4552	murA
Z2532	acnA
Z2302	ydcA
Z0679	ybbF
Z1052	uncharacterized
Z4853	Z4853
Z5181	yidE
Z4792	glgC
Z1110	ybjD
Z1992	chaB
Z3201	wzx
Z4228	lysS
Z0676	arcC
Z3791	yfhJ
Z5304	wecF
Z5783	yjeT
Z3619	uncharacterized
Z4582	nanT
Z4722	fic
Z3469	yojI
Z3662	yfeC
Z5497	katG
Z0195	rnhB
Z5191	recF
Z5974	rimI
Z2151	Z2151
Z1984	Z1984
Z0782	ybeA
Z5763	yjeA
Z2722	ydiF
Z4163	kduI
Z5420	yihU
Z2834	yeaO
Z4862	Z4862
Z5165	ilvB
Z0040	caiF
Z0156	dksA
Z5421	yihV
Z2883	yebV
Z0089	fruL
Z4023	ascF
Z5122	sepZ
Z5275	yifA
Z1511	rutA
Z3257	gatA
Z3793	hscA
Z5353	udp
Z1381	lomU
Z1795	Z1795
Z5243	mioC
Z2923	yecO
Z4660	trkA
Z1917	ECs2942
Z4457	yhaH
Z5897	uncharacterized
Z0207	tsaA
Z5078	recG
Z2948	yecG
Z1041	ybiS
Z4606	yhdE
Z0824	nagA
Z5794	aidB
Z5236	atpB
Z5287	uncharacterized
Z4068	Z4068
Z4020	hypF
Z1411	torT
Z5295	rfe
Z4765	yhgG
Z0853	ybfC
Z5235	atpE
Z1093	artI
Z0536	ampG
Z1438	gamW
Z2416	ydaO/ttcA
Z2391	Z2391
Z4487	Z4487
Z1691	yceA
Z2671	rnt
Z1016	ybiH
Z4980	yiaG
Z2076	ECs2228
Z0777	dacA
Z1089	ECs0942
Z2474	Z2474
Z5728	yjdI
Z2060	Z2060
Z4024	ascB
Z5452	rhaT
Z5414	yihQ
Z3887	yfiH
Z3564	yfcG
Z3711	eutE
Z1260	msbA
Z2313	hrpA
Z4419	dnaG
Z1014	ybhF
Z4067	Z4067
Z2593	mdtI
Z2415	intR
Z3192	wbdR/perB
Z0550	ybaW
Z3620	Z3620
Z0885	Z0885
Z4005	srlA_1
Z1229	aat
Z2745	rplT
Z4446	exuT
Z2817	yeaA
Z2168	ydeD
Z3577	folC
Z2229	bdm
Z5788	yjfI
Z5418	yihT
Z5638	ubiC
Z5156	uhpT
Z4001	oraA
Z2718	Z2718
Z1498	Z1498
Z4774	malT
Z1253	serC
Z2284	ydcP
Z4226	ygfU
Z5298	wecC
Z0401	betT
Z1023	ybiJ
Z5240	gidB
Z4484	agaZ
Z0064	yabH
Z3484	gyrA
Z3238	yegD
Z0066	yabO/rluA
Z2333	Z2333
Z4013	gutM
Z4299	yggV
Z5352	ysgA
Z2414	ydaQ
Z3644	Z3644
Z4140	ppdC
