protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
ybfE__b0685__JW5816	pldB__b3825__JW5584	P0AAU7	P07000	Y2H
yebC__b1864__JW1853	pldB__b3825__JW5584	P0A8A0	P07000	Y2H
ygfB__b2909__JW5473	pldB__b3825__JW5584	P0A8C4	P07000	Y2H
ygiT__b3021__JW2989	pldB__b3825__JW5584	Q46864	P07000	Y2H
yifE__b3764__JW3737	pldB__b3825__JW5584	P0ADN2	P07000	Y2H
yjgA__b4234__JW4193	pldB__b3825__JW5584	P0A8X0	P07000	Y2H
acpP__b1094__JW1080	plsB__b4041__JW4001	P0A6A8	P0A7A7	LIT
plsB__b4041__JW4001	plsB__b4041__JW4001	P0A7A7	P0A7A7	LIT
ybgC__b0736__JW0726	plsB__b4041__JW4001	P0A8Z3	P0A7A7	LIT
rhlB__b3780__JW3753	pnp__b3164__JW5851	P0A8J8	P05055	LIT
rne__b1084__JW1071	pnp__b3164__JW5851	P21513	P05055	LIT
pntA__b1603__JW1595	pntA__b1603__JW1595	P07001	P07001	Y2H
aceF__b0115__JW0111	polA__b3863__JW3835	P06959	P00582	LIT
cueR__b0487__JW0476	polA__b3863__JW3835	P0A9G4	P00582	LIT
tufB__b3980__JW3943	polA__b3863__JW3835	P0A6N1	P00582	LIT
glyQ__b3560__JW3531	polB__b0060__JW0059	P00960	P21189	Y2H
accA__b0185__JW0180	potA__b1126__JW1112	P0ABD5	P69874	Y2H
groL__b4143__JW4103	potA__b1126__JW1112	P0A6F5	P69874	LIT
potF__b0854__JW0838	potF__b0854__JW0838	P31133	P31133	LIT
potH__b0856__JW0840	potG__b0855__JW5818	P31135	P31134	Y2H
yfbM__b2272__JW2267	potG__b0855__JW5818	P76483	P31134	Y2H
yihL__b3872__JW3843	potG__b0855__JW5818	P0ACM9	P31134	Y2H
aceE__b0114__JW0110	poxA__b4155__JW4116	P0AFG8	P0A8N7	LIT
entE__b0594__JW0586	poxB__b0871__JW0855	P10378	P07003	Y2H
uvrA__b4058__JW4019	ppc__b3956__JW3928	P0A698	P00864	LIT
groL__b4143__JW4103	pphA__b1838__JW1827	P0A6F5	P55798	LIT
fucK__b2803__JW2774	ppiB__b0525__JW0514	P11553	P23869	LIT
rhsC__b0700__JW0689	ppiB__b0525__JW0514	P16918	P23869	Y2H_LIT
ppiC__b3775__JW3748	ppiC__b3775__JW3748	P0A9L5	P0A9L5	Y2H
ygaF__b2660__JW2635	ppiC__b3775__JW3748	P37339	P0A9L5	Y2H
yfbV__b2295__JW2292	ppk__b2501__JW2486	P0A8D9	P0A7B1	LIT
rplB__b3317__JW3279	pps__b1702__JW1692	P60422	P23538	LIT
ppx__b2502__JW2487	ppx__b2502__JW2487	P0AFL6	P0AFL6	Y2H
uvrD__b3813__JW3786	pqiB__b0951__JW0934	P03018	P43671	LIT
glyQ__b3560__JW3531	prc__b1830__JW1819	P00960	P23865	LIT
prmC__b1212__JW1203	prfA__b1211__JW1202	P0ACC1	P0A7I0	LIT
parE__b3030__JW2998	prfB__b2891__JW5847	P20083	P07012	LIT
polA__b3863__JW3835	prfB__b2891__JW5847	P00582	P07012	LIT
prfC__b4375__JW5873	prfB__b2891__JW5847	P0A7I4	P07012	LIT
rplB__b3317__JW3279	prfB__b2891__JW5847	P60422	P07012	LIT
rpsF__b4200__JW4158	prfB__b2891__JW5847	P02358	P07012	LIT
ycfX__b1119__JW1105	prfB__b2891__JW5847	P75959	P07012	LIT
yeiT__b2146__JW2133	prfB__b2891__JW5847	P76440	P07012	LIT
ynfE__b1587__JW1579	prfB__b2891__JW5847	P77374	P07012	LIT
hybD__b2993__JW2961	prfC__b4375__JW5873	P37182	P0A7I4	Y2H
pfkA__b3916__JW3887	prfC__b4375__JW5873	P0A796	P0A7I4	LIT
yccT__b0964__JW0947	prfH__b0236__JW0226	P0A8X4	P28369	LIT
holC__b4259__JW4216	priA__b3935__JW3906	P28905	P17888	LIT
tufB__b3980__JW3943	priA__b3935__JW3906	P0A6N1	P17888	LIT
yfaX__b2248__JW2242	priC__b0467__JW0456	P77732	P23862	Y2H
stfR__b1372__JW1366	prmB__b2330__JW5841	P76072	P39199	LIT
yejF__b2180__JW2168	prmB__b2330__JW5841	P33916	P39199	LIT
yncC__b1450__JW1445	prmB__b2330__JW5841	P76114	P39199	LIT
lpxD__b0179__JW0174	proA__b0243__JW0233	P21645	P07004	LIT
nrdA__b2234__JW2228	proA__b0243__JW0233	P00452	P07004	LIT
pepT__b1127__JW1113	proA__b0243__JW0233	P29745	P07004	LIT
proA__b0243__JW0233	proA__b0243__JW0233	P07004	P07004	Y2H
proS__b0194__JW0190	proA__b0243__JW0233	P16659	P07004	LIT
bioB__b0775__JW0758	proQ__b1831__JW5300	P12996	P45577	Y2H
bipA__b3871__JW5571	proQ__b1831__JW5300	P32132	P45577	Y2H
cmk__b0910__JW0893	proQ__b1831__JW5300	P0A6I0	P45577	Y2H
cspA__b3556__JW3525	proQ__b1831__JW5300	P0A9X9	P45577	Y2H
cysM__b2421__JW2414	proQ__b1831__JW5300	P16703	P45577	Y2H
deoB__b4383__JW4346	proQ__b1831__JW5300	P0A6K6	P45577	Y2H
dksA__b0145__JW0141	proQ__b1831__JW5300	P0ABS1	P45577	Y2H
evgA__b2369__JW2366	proQ__b1831__JW5300	P0ACZ4	P45577	Y2H
fabA__b0954__JW0937	proQ__b1831__JW5300	P0A6Q3	P45577	Y2H
fdx__b2525__JW2509	proQ__b1831__JW5300	P0A9R4	P45577	Y2H
fldA__b0684__JW0671	proQ__b1831__JW5300	P61949	P45577	Y2H
fmt__b3288__JW3249	proQ__b1831__JW5300	P23882	P45577	Y2H
folA__b0048__JW0047	proQ__b1831__JW5300	P0ABQ4	P45577	Y2H
hslR__b3400__JW3363	proQ__b1831__JW5300	P0ACG8	P45577	Y2H
idnO__b4266__JW4223	proQ__b1831__JW5300	P0A9P9	P45577	Y2H
insO__b0257__JW0247	proQ__b1831__JW5300	P75680	P45577	Y2H
murB__b3972__JW3940	proQ__b1831__JW5300	P08373	P45577	Y2H
nikR__b3481__JW3446	proQ__b1831__JW5300	P0A6Z6	P45577	Y2H
NoData__b1028__JW5145	proQ__b1831__JW5300	NoData	P45577	Y2H
NoData__b1965__JW1948	proQ__b1831__JW5300	NoData	P45577	Y2H
NoData__b2858__JW5460	proQ__b1831__JW5300	NoData	P45577	Y2H
proC__b0386__JW0377	proQ__b1831__JW5300	P0A9L8	P45577	Y2H
recF__b3700__JW3677	proQ__b1831__JW5300	P0A7H0	P45577	Y2H
rep__b3778__JW5604	proQ__b1831__JW5300	P09980	P45577	Y2H
rimM__b2608__JW5413	proQ__b1831__JW5300	P0A7X6	P45577	Y2H
tilS__b0188__JW0183	proQ__b1831__JW5300	P52097	P45577	Y2H
truA__b2318__JW2315	proQ__b1831__JW5300	P07649	P45577	Y2H
truD__b2745__JW2715	proQ__b1831__JW5300	Q57261	P45577	Y2H
trxB__b0888__JW0871	proQ__b1831__JW5300	P0A9P4	P45577	Y2H
uhpA__b3669__JW3644	proQ__b1831__JW5300	P0AGA6	P45577	Y2H
yaiE__b0391__JW0382	proQ__b1831__JW5300	P0C037	P45577	Y2H
ybfE__b0685__JW5816	proQ__b1831__JW5300	P0AAU7	P45577	Y2H
ybjM__b0848__JW0832	proQ__b1831__JW5300	P64439	P45577	Y2H
ydcY__b1446__JW1441	proQ__b1831__JW5300	P64455	P45577	Y2H
yedJ__b1962__JW1945	proQ__b1831__JW5300	P46144	P45577	Y2H
yeeW__b2006__JW1988	proQ__b1831__JW5300	P64526	P45577	Y2H
yffB__b2471__JW2455	proQ__b1831__JW5300	P24178	P45577	Y2H
ygfB__b2909__JW5473	proQ__b1831__JW5300	P0A8C4	P45577	Y2H
yhbW__b3160__JW3129	proQ__b1831__JW5300	P0ADV5	P45577	Y2H
yhiQ__b3497__JW5672	proQ__b1831__JW5300	P68567	P45577	Y2H
yicS__b4555__JW5965	proQ__b1831__JW5300	Q2M7X4	P45577	Y2H
yigL__b3826__JW5854	proQ__b1831__JW5300	P27848	P45577	Y2H
yjcB__b4060__JW5718	proQ__b1831__JW5300	P32700	P45577	Y2H
fliG__b1939__JW1923	proS__b0194__JW0190	P0ABZ1	P16659	LIT
groL__b4143__JW4103	proS__b0194__JW0190	P0A6F5	P16659	LIT
rpe__b3386__JW3349	proS__b0194__JW0190	P0AG07	P16659	LIT
mltA__b2813__JW2784	proV__b2677__JW2652	P0A935	P14175	LIT
proV__b2677__JW2652	proV__b2677__JW2652	P14175	P14175	Y2H
groL__b4143__JW4103	prpR__b0330__JW0322	P0A6F5	P77743	LIT
groL__b4143__JW4103	prsA__b1207__JW1198	P0A6F5	P0A717	LIT
mraW__b0082__JW0080	prsA__b1207__JW1198	P60390	P0A717	LIT
sbcC__b0397__JW0387	prsA__b1207__JW1198	P13458	P0A717	LIT
crl__b0240__JW0230	pspA__b1304__JW1297	P24251	P0AFM6	LIT
pspA__b1304__JW1297	pspB__b1305__JW1298	P0AFM6	P0AFM9	LIT
pspA__b1304__JW1297	pspC__b1306__JW1299	P0AFM6	P0AFN2	LIT
xseA__b2509__JW2493	pspE__b1308__JW1301	P04994	P23857	Y2H
pspA__b1304__JW1297	pspF__b1303__JW1296	P0AFM6	P37344	LIT
lpxD__b0179__JW0174	pssA__b2585__JW2569	P21645	P23830	LIT
pnp__b3164__JW5851	pssA__b2585__JW2569	P05055	P23830	LIT
rpsG__b3341__JW3303	pssA__b2585__JW2569	P02359	P23830	LIT
topA__b1274__JW1266	pssA__b2585__JW2569	P06612	P23830	LIT
napD__b2207__JW2195	pta__b2297__JW2294	P0A9I5	P0A9M8	LIT
prsA__b1207__JW1198	pth__b1204__JW1195	P0A717	P0A7D1	LIT
crr__b2417__JW2410	ptsG__b1101__JW1087	P69783	P69786	LIT
bolA__b0435__JW5060	ptsH__b2415__JW2408	P0ABE2	P0AA04	Y2H
crr__b2417__JW2410	ptsH__b2415__JW2408	P69783	P0AA04	LIT
idnK__b4268__JW4225	ptsH__b2415__JW2408	P39208	P0AA04	Y2H
mtlR__b3601__JW3575	ptsH__b2415__JW2408	P0AF10	P0AA04	Y2H
rsd__b3995__JW3959	ptsH__b2415__JW2408	P0AFX4	P0AA04	Y2H
helD__b0962__JW0945	ptsI__b2416__JW2409	P15038	P08839	LIT
ptsH__b2415__JW2408	ptsI__b2416__JW2409	P0AA04	P08839	LIT
hybE__b2992__JW2960	ptsN__b3204__JW3171	P0AAN1	P69829	LIT
kdpD__b0695__JW0683	ptsN__b3204__JW3171	P21865	P69829	Y2H_LIT
ygdR__b2833__JW2801	ptsN__b3204__JW3171	P65294	P69829	Y2H
rspA__b1581__JW1573	purA__b4177__JW4135	P38104	P0A7D4	LIT
aceE__b0114__JW0110	purB__b1131__JW1117	P0AFG8	P0AB89	LIT
groL__b4143__JW4103	purC__b2476__JW2461	P0A6F5	P0A7D7	LIT
purH__b4006__JW3970	purH__b4006__JW3970	P15639	P15639	Y2H
purN__b2500__JW2485	purN__b2500__JW2485	P08179	P08179	Y2H_LIT
yebV__b1836__JW5302	purR__b1658__JW1650	P64503	P0ACP7	Y2H
ispA__b0421__JW0411	purT__b1849__JW1838	P22939	P33221	Y2H_LIT
purT__b1849__JW1838	purT__b1849__JW1838	P33221	P33221	Y2H
groL__b4143__JW4103	purU__b1232__JW1220	P0A6F5	P37051	LIT
rfbB__b2041__JW2026	putA__b1014__JW0999	P37759	P09546	Y2H
yheS__b3352__JW3315	putA__b1014__JW0999	P63389	P09546	LIT
putP__b1015__JW1001	putP__b1015__JW1001	P07117	P07117	LIT
dhaR__b1201__JW5188	puuC__b1300__JW1293	P76016	P23883	LIT
envR__b3264__JW3232	puuD__b1298__JW1291	P0ACT2	P76038	LIT
pflB__b0903__JW0886	pykA__b1854__JW1843	P09373	P21599	LIT
pykA__b1854__JW1843	pykA__b1854__JW1843	P21599	P21599	Y2H
usg__b2319__JW2316	pykA__b1854__JW1843	P08390	P21599	Y2H_LIT
yggR__b2950__JW2917	pykA__b1854__JW1843	P52052	P21599	Y2H_LIT
pyrI__b4244__JW4203	pyrB__b4245__JW4204	P0A7F3	P0A786	Y2H_LIT
iscS__b2530__JW2514	pyrE__b3642__JW3617	P0A6B7	P0A7E3	LIT
pyrG__b2780__JW2751	pyrG__b2780__JW2751	P0A7E5	P0A7E5	LIT
deoD__b4384__JW4347	pyrH__b0171__JW0166	P0ABP8	P0A7E9	LIT
dnaK__b0014__JW0013	qor__b4051__JW4011	P0A6Y8	P28304	LIT
qor__b4051__JW4011	qor__b4051__JW4011	P28304	P28304	Y2H_LIT
ygdH__b2795__JW2766	qor__b4051__JW4011	P0ADR8	P28304	Y2H
qseB__b3025__JW2993	qseB__b3025__JW2993	P52076	P52076	LIT
murC__b0091__JW0089	racC__b1351__JW1345	P17952	P15033	Y2H
dhaK__b1200__JW5187	rbbA__b3486__JW5676	P76015	P37624	LIT
nadE__b1740__JW1729	rbfA__b3167__JW3136	P18843	P0A7G2	LIT
hycA__b2725__JW2695	rbsA__b3749__JW3728	P0AEV4	P04983	Y2H
mglB__b2150__JW2137	rbsA__b3749__JW3728	P0AEE5	P04983	Y2H
phnG__b4101__JW4062	rbsA__b3749__JW3728	P16685	P04983	Y2H
rbsA__b3749__JW3728	rbsA__b3749__JW3728	P04983	P04983	Y2H
alsB__b4088__JW4049	rbsB__b3751__JW3730	P39265	P02925	LIT
htrE__b0139__JW0135	rbsB__b3751__JW3730	P33129	P02925	Y2H
ileS__b0026__JW0024	rbsB__b3751__JW3730	P00956	P02925	Y2H_LIT
leuS__b0642__JW0637	rbsB__b3751__JW3730	P07813	P02925	Y2H
ligA__b2411__JW2403	rbsB__b3751__JW3730	P15042	P02925	Y2H
rbsB__b3751__JW3730	rbsB__b3751__JW3730	P02925	P02925	Y2H
topA__b1274__JW1266	rbsB__b3751__JW3730	P06612	P02925	Y2H
ybhK__b0780__JW0763	rbsB__b3751__JW3730	P75767	P02925	Y2H
yjgL__b4253__JW5757	rbsB__b3751__JW3730	P39336	P02925	Y2H
rbsB__b3751__JW3730	rbsC__b3750__JW3729	P02925	P0AGI1	LIT
prsA__b1207__JW1198	rbsK__b3752__JW3731	P0A717	P0A9J6	LIT
groL__b4143__JW4103	rbsR__b3753__JW3732	P0A6F5	P0ACQ0	LIT
lon__b0439__JW0429	rcsA__b1951__JW1935	P0A9M0	P69405	LIT
rcsB__b2217__JW2205	rcsB__b2217__JW2205	P69407	P69407	Y2H
rcsB__b2217__JW2205	rcsD__b2216__JW2204	P69407	P39838	Y2H
prsA__b1207__JW1198	rdgC__b0393__JW0384	P0A717	P36767	LIT
lexA__b4043__JW4003	recA__b2699__JW2669	P0A7C2	P0A7G6	LIT
malT__b3418__JW3381	recA__b2699__JW2669	P06993	P0A7G6	Y2H
aceF__b0115__JW0111	recB__b2820__JW2788	P06959	P08394	LIT
recC__b2822__JW2790	recB__b2820__JW2788	P07648	P08394	LIT
recD__b2819__JW2787	recB__b2820__JW2788	P04993	P08394	LIT
tufB__b3980__JW3943	recB__b2820__JW2788	P0A6N1	P08394	LIT
groL__b4143__JW4103	recD__b2819__JW2787	P0A6F5	P04993	LIT
recC__b2822__JW2790	recD__b2819__JW2787	P07648	P04993	LIT
topB__b1763__JW1752	recD__b2819__JW2787	P14294	P04993	LIT
ligA__b2411__JW2403	recE__b1350__JW1344	P15042	P15032	LIT
groL__b4143__JW4103	recF__b3700__JW3677	P0A6F5	P0A7H0	LIT
aceF__b0115__JW0111	recG__b3652__JW3627	P06959	P24230	LIT
aceF__b0115__JW0111	recJ__b2892__JW2860	P06959	P21893	LIT
galR__b2837__JW2805	recJ__b2892__JW2860	P03024	P21893	LIT
topA__b1274__JW1266	recJ__b2892__JW2860	P06612	P21893	LIT
topB__b1763__JW1752	recJ__b2892__JW2860	P14294	P21893	Y2H_LIT
tufB__b3980__JW3943	recJ__b2892__JW2860	P0A6N1	P21893	LIT
recF__b3700__JW3677	recO__b2565__JW2549	P0A7H0	P0A7H3	LIT
aceF__b0115__JW0111	recQ__b3822__JW5855	P06959	P15043	LIT
holC__b4259__JW4216	recQ__b3822__JW5855	P28905	P15043	LIT
holD__b4372__JW4334	recQ__b3822__JW5855	P28632	P15043	LIT
topA__b1274__JW1266	recQ__b3822__JW5855	P06612	P15043	LIT
topB__b1763__JW1752	recQ__b3822__JW5855	P14294	P15043	LIT
recF__b3700__JW3677	recR__b0472__JW0461	P0A7H0	P0A7H6	LIT
recO__b2565__JW2549	recR__b0472__JW0461	P0A7H3	P0A7H6	LIT
fldA__b0684__JW0671	recX__b2698__JW2668	P61949	P33596	Y2H
recA__b2699__JW2669	recX__b2698__JW2668	P0A7G6	P33596	LIT
relB__b1564__JW1556	relB__b1564__JW1556	P0C079	P0C079	LIT
relE__b1563__JW1555	relB__b1564__JW1556	NoData	P0C079	LIT
rep__b3778__JW5604	rep__b3778__JW5604	P09980	P09980	Y2H_LIT
uvrD__b3813__JW3786	rep__b3778__JW5604	P03018	P09980	Y2H_LIT
rplB__b3317__JW3279	rfaB__b3628__JW3603	P60422	P27127	LIT
groL__b4143__JW4103	rfaD__b3619__JW3594	P0A6F5	P67910	LIT
iclR__b4018__JW3978	rfaD__b3619__JW3594	P16528	P67910	LIT
lysR__b2839__JW2807	rfaJ__b3626__JW3601	P03030	P27129	LIT
topA__b1274__JW1266	rfaL__b3622__JW3597	P06612	P27243	LIT
groL__b4143__JW4103	rfaQ__b3632__JW3607	P0A6F5	P25742	LIT
rfbB__b2041__JW2026	rfbB__b2041__JW2026	P37759	P37759	Y2H
groL__b4143__JW4103	rffH__b3789__JW3763	P0A6F5	P61887	LIT
manX__b1817__JW1806	rffM__b3794__JW3770	P69797	P27836	Y2H
rpoD__b3067__JW3039	rhaR__b3906__JW3877	P00579	P09378	Y2H_LIT
rpoD__b3067__JW3039	rhaS__b3905__JW3876	P00579	P09377	Y2H_LIT
rhlB__b3780__JW3753	rhlB__b3780__JW3753	P0A8J8	P0A8J8	Y2H_LIT
cspA__b3556__JW3525	rhlE__b0797__JW0781	P0A9X9	P25888	Y2H
phoR__b0400__JW0390	rhlE__b0797__JW0781	P08400	P25888	LIT
rho__b3783__JW3756	rho__b3783__JW3756	P0AG30	P0AG30	Y2H
tufB__b3980__JW3943	rho__b3783__JW3756	P0A6N1	P0AG30	LIT
yiiM__b3910__JW5559	rho__b3783__JW3756	NoData	P0AG30	Y2H
ilvC__b3774__JW3747	rhsC__b0700__JW0689	P05793	P16918	LIT
ppiB__b0525__JW0514	rhsC__b0700__JW0689	P23869	P16918	Y2H_LIT
yjdA__b4109__JW4070	rhsC__b0700__JW0689	P16694	P16918	Y2H
dnaE__b0184__JW0179	rhsD__b0497__JW0486	P10443	P16919	LIT
pyrF__b1281__JW1273	ribA__b1277__JW1269	P08244	P0A7I7	LIT
cysJ__b2764__JW2734	ribB__b3041__JW3009	P38038	P0A7J0	LIT
ribB__b3041__JW3009	ribB__b3041__JW3009	P0A7J0	P0A7J0	Y2H
accC__b3256__JW3224	ribD__b0414__JW0404	P24182	P25539	Y2H_LIT
groL__b4143__JW4103	ribD__b0414__JW0404	P0A6F5	P25539	LIT
ribD__b0414__JW0404	ribD__b0414__JW0404	P25539	P25539	Y2H
rpsG__b3341__JW3303	ribD__b0414__JW0404	P02359	P25539	LIT
smpA__b2617__JW2598	ribD__b0414__JW0404	P0A937	P25539	Y2H
aceE__b0114__JW0110	ribF__b0025__JW0023	P0AFG8	P0AG40	LIT
murF__b0086__JW0084	rihC__b0030__JW0028	P11880	P22564	LIT
yeaZ__b1807__JW1796	rimI__b4373__JW4335	P76256	P0A944	Y2H_LIT
folX__b2303__JW2300	rimJ__b1066__JW1053	P0AC19	P0A948	LIT
groL__b4143__JW4103	rimJ__b1066__JW1053	P0A6F5	P0A948	LIT
rpsE__b3303__JW3265	rimJ__b1066__JW1053	P0A7W1	P0A948	LIT
livF__b3454__JW3419	rimM__b2608__JW5413	P22731	P0A7X6	Y2H
rpsS__b3316__JW3278	rimM__b2608__JW5413	P0A7U3	P0A7X6	Y2H
mcrB__b4346__JW5871	rlmB__b4180__JW4138	P15005	P63177	Y2H
yjeF__b4167__JW4125	rlmB__b4180__JW4138	P31806	P63177	Y2H
tolB__b0740__JW5100	rlpA__b0633__JW0628	P0A855	P10100	Y2H
uhpA__b3669__JW3644	rlpB__b0641__JW0636	P0AGA6	P0ADC1	LIT
aat__b0885__JW0868	rluA__b0058__JW0057	P0A8P1	P0AA37	Y2H
aidB__b4187__JW5867	rluB__b1269__JW1261	P33224	P37765	LIT
alaS__b2697__JW2667	rluB__b1269__JW1261	P00957	P37765	LIT
hrpA__b1413__JW5905	rluB__b1269__JW1261	P43329	P37765	LIT
lpxD__b0179__JW0174	rluB__b1269__JW1261	P21645	P37765	LIT
pnp__b3164__JW5851	rluB__b1269__JW1261	P05055	P37765	LIT
pssA__b2585__JW2569	rluB__b1269__JW1261	P23830	P37765	LIT
rne__b1084__JW1071	rluB__b1269__JW1261	P21513	P37765	LIT
rpsF__b4200__JW4158	rluB__b1269__JW1261	P02358	P37765	LIT
rpsG__b3341__JW3303	rluB__b1269__JW1261	P02359	P37765	Y2H_LIT
selB__b3590__JW3563	rluB__b1269__JW1261	P14081	P37765	LIT
srmB__b2576__JW2560	rluB__b1269__JW1261	P21507	P37765	Y2H_LIT
topA__b1274__JW1266	rluB__b1269__JW1261	P06612	P37765	LIT
ygiF__b3054__JW3026	rluB__b1269__JW1261	P30871	P37765	LIT
yhiR__b3499__JW3466	rluB__b1269__JW1261	P37634	P37765	LIT
ytjC__b4395__JW4358	rmuC__b3832__JW3809	P0A7A2	P0AG71	LIT
rnb__b1286__JW1279	rnc__b2567__JW2551	P30850	P0A7Y0	LIT
ugpQ__b3449__JW3414	rnc__b2567__JW2551	P10908	P0A7Y0	Y2H
groL__b4143__JW4103	rnd__b1804__JW1793	P0A6F5	P09155	LIT
rhlB__b3780__JW3753	rne__b1084__JW1071	P0A8J8	P21513	LIT
tufB__b3980__JW3943	rne__b1084__JW1071	P0A6N1	P21513	LIT
frlD__b3374__JW3337	rng__b3247__JW3216	P45543	P0A9J0	Y2H
murI__b3967__JW5550	rnk__b0610__JW0602	P22634	P0AFW4	Y2H
radA__b4389__JW4352	rnk__b0610__JW0602	P24554	P0AFW4	Y2H
cca__b3056__JW3028	rnr__b4179__JW5741	P06961	P21499	LIT
pgm__b0688__JW0675	rnr__b4179__JW5741	P36938	P21499	LIT
pssA__b2585__JW2569	rnr__b4179__JW5741	P23830	P21499	LIT
rluB__b1269__JW1261	rnr__b4179__JW5741	P37765	P21499	LIT
rne__b1084__JW1071	rnr__b4179__JW5741	P21513	P21499	LIT
rplO__b3301__JW3263	rnr__b4179__JW5741	P02413	P21499	LIT
rpsF__b4200__JW4158	rnr__b4179__JW5741	P02358	P21499	LIT
rpsG__b3341__JW3303	rnr__b4179__JW5741	P02359	P21499	LIT
selB__b3590__JW3563	rnr__b4179__JW5741	P14081	P21499	LIT
ycbY__b0948__JW0931	rnr__b4179__JW5741	P75864	P21499	LIT
ygiF__b3054__JW3026	rnr__b4179__JW5741	P30871	P21499	LIT
aceF__b0115__JW0111	rnt__b1652__JW1644	P06959	P30014	LIT
yeiR__b2173__JW2161	rnt__b1652__JW1644	P33030	P30014	Y2H
rho__b3783__JW3756	rof__b0189__JW0184	P0AG30	P0AFW8	LIT
yccK__b0969__JW0952	rof__b0189__JW0184	P0AB18	P0AFW8	Y2H
dnaN__b3701__JW3678	rpe__b3386__JW3349	P0A988	P0AG07	Y2H_LIT
frlD__b3374__JW3337	rpe__b3386__JW3349	P45543	P0AG07	Y2H
rpe__b3386__JW3349	rpe__b3386__JW3349	P0AG07	P0AG07	LIT
dnaG__b3066__JW3038	rplA__b3984__JW3947	P0ABS5	P0A7L0	LIT
intA__b2622__JW2602	rplB__b3317__JW3279	P32053	P60422	LIT
metG__b2114__JW2101	rplB__b3317__JW3279	P00959	P60422	Y2H_LIT
rpsH__b3306__JW3268	rplB__b3317__JW3279	P0A7W7	P60422	Y2H
yncC__b1450__JW1445	rplC__b3320__JW3282	P76114	P60438	LIT
coaD__b3634__JW3609	rplD__b3319__JW3281	P0A6I6	P60723	LIT
gadE__b3512__JW3480	rplF__b3305__JW3267	P63204	P0AG55	LIT
rpiB__b4090__JW4051	rplJ__b3985__JW3948	P37351	P0A7J3	LIT
prmA__b3259__JW3227	rplK__b3983__JW3946	P0A8T1	P0A7J7	LIT
crp__b3357__JW5702	rplL__b3986__JW3949	P0ACJ8	P0A7K2	LIT
moaD__b0784__JW0767	rplL__b3986__JW3949	P30748	P0A7K2	LIT
nikR__b3481__JW3446	rplL__b3986__JW3949	P0A6Z6	P0A7K2	LIT
rplJ__b3985__JW3948	rplL__b3986__JW3949	P0A7J3	P0A7K2	LIT
xylF__b3566__JW3538	rplL__b3986__JW3949	P37387	P0A7K2	Y2H
ycfM__b1105__JW5157	rplL__b3986__JW3949	P0AB38	P0A7K2	Y2H
ydcY__b1446__JW1441	rplM__b3231__JW3200	P64455	P0AA10	Y2H
yedM__b1935__JW1920	rplN__b3310__JW3272	NoData	P0ADY3	LIT
dnaA__b3702__JW3679	rplO__b3301__JW3263	P03004	P02413	LIT
paaX__b1399__JW1394	rplO__b3301__JW3263	P76086	P02413	LIT
pnp__b3164__JW5851	rplO__b3301__JW3263	P05055	P02413	LIT
rpoD__b3067__JW3039	rplO__b3301__JW3263	P00579	P02413	LIT
rpsH__b3306__JW3268	rplO__b3301__JW3263	P0A7W7	P02413	Y2H
selB__b3590__JW3563	rplO__b3301__JW3263	P14081	P02413	LIT
hypF__b2712__JW5433	rplR__b3304__JW3266	P30131	P0C018	Y2H
yjeO__b4158__JW4119	rplR__b3304__JW3266	P39284	P0C018	Y2H
nanE__b3223__JW3192	rplS__b2606__JW2587	P0A761	P0A7K6	LIT
rpsH__b3306__JW3268	rplU__b3186__JW3153	P0A7W7	P0AG48	Y2H
rpsE__b3303__JW3265	rplW__b3318__JW3280	P0A7W1	P0ADZ0	Y2H_LIT
yjgL__b4253__JW5757	rplW__b3318__JW3280	P39336	P0ADZ0	LIT
dnaK__b0014__JW0013	rplY__b2185__JW2173	P0A6Y8	P68919	LIT
fldA__b0684__JW0671	rpmA__b3185__JW3152	P61949	P0A7L8	Y2H
gyrA__b2231__JW2225	rpmA__b3185__JW3152	P0AES4	P0A7L8	LIT
sgbE__b3583__JW3555	rpmA__b3185__JW3152	P37680	P0A7L8	Y2H
ygiT__b3021__JW2989	rpmA__b3185__JW3152	Q46864	P0A7L8	Y2H
rpmF__b1089__JW1075	rpmB__b3637__JW3612	P0A7N4	P0A7M2	Y2H_LIT
entF__b0586__JW0578	rpmE__b3936__JW3907	P11454	P0A7M9	Y2H
gmhB__b0200__JW0196	rpmI__b1717__JW1707	P63228	P0A7Q1	Y2H
ppk__b2501__JW2486	rpmI__b1717__JW1707	P0A7B1	P0A7Q1	Y2H
yfjK__b2627__JW2608	rpmI__b1717__JW1707	P52126	P0A7Q1	Y2H
gyrA__b2231__JW2225	rpmJ__b3299__JW3261	P0AES4	P0A7Q6	LIT
crp__b3357__JW5702	rpoA__b3295__JW3257	P0ACJ8	P0A7Z4	LIT
dfp__b3639__JW5642	rpoA__b3295__JW3257	P0ABQ0	P0A7Z4	LIT
mfd__b1114__JW1100	rpoB__b3987__JW3950	P30958	P0A8V2	LIT
adk__b0474__JW0463	rpoC__b3988__JW3951	P69441	P0A8T7	LIT
ada__b2213__JW2201	rpoD__b3067__JW3039	P06134	P00579	Y2H_LIT
chbR__b1735__JW1724	rpoD__b3067__JW3039	P17410	P00579	Y2H
crp__b3357__JW5702	rpoD__b3067__JW3039	P0ACJ8	P00579	Y2H_LIT
