protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
alsK__b4084__JW5724	alsK__b4084__JW5724	P32718	P32718	Y2H
holA__b0640__JW0635	alsK__b4084__JW5724	P28630	P32718	Y2H
dnaK__b0014__JW0013	ampC__b4150__JW4111	P0A6Y8	P00811	LIT
hemN__b3867__JW3838	ampH__b0376__JW5052	P32131	P0AD70	Y2H
glnB__b2553__JW2537	amtB__b0451__JW0441	P0A9Z1	P69681	Y2H_LIT
glnK__b0450__JW0440	amtB__b0451__JW0441	P0AC55	P69681	Y2H_LIT
frr__b0172__JW0167	ansB__b2957__JW2924	P0A805	P00805	Y2H
nrfG__b4076__JW4037	ansB__b2957__JW2924	P32712	P00805	Y2H
sixA__b2340__JW2337	ansB__b2957__JW2924	P76502	P00805	Y2H
visC__b2906__JW2874	ansB__b2957__JW2924	P25535	P00805	Y2H
aroE__b3281__JW3242	appY__b0564__JW0553	P15770	P05052	Y2H
araC__b0064__JW0063	araC__b0064__JW0063	P0A9E0	P0A9E0	Y2H
lexA__b4043__JW4003	araC__b0064__JW0063	P0A7C2	P0A9E0	Y2H_LIT
rhaS__b3905__JW3876	araC__b0064__JW0063	P09377	P0A9E0	Y2H
rpoD__b3067__JW3039	araC__b0064__JW0063	P00579	P0A9E0	Y2H_LIT
xerC__b3811__JW3784	araC__b0064__JW0063	P0A8P6	P0A9E0	Y2H
ypdC__b2382__JW2379	araC__b0064__JW0063	P77396	P0A9E0	Y2H
araG__b1900__JW1888	araG__b1900__JW1888	P0AAF3	P0AAF3	Y2H
arcA__b4401__JW4364	arcA__b4401__JW4364	P0A9Q1	P0A9Q1	LIT
prsA__b1207__JW1198	arcA__b4401__JW4364	P0A717	P0A9Q1	LIT
tolC__b3035__JW5503	arcA__b4401__JW4364	P02930	P0A9Q1	LIT
rssB__b1235__JW1223	arcB__b3210__JW5536	P0AEV1	P0AEC3	LIT
dacB__b3182__JW3149	argG__b3172__JW3140	P24228	P0A6E4	Y2H_LIT
argI__b4254__JW4211	argI__b4254__JW4211	P04391	P04391	LIT
aroB__b3389__JW3352	aroB__b3389__JW3352	P07639	P07639	Y2H
groL__b4143__JW4103	aroH__b1704__JW1694	P0A6F5	P00887	Y2H_LIT
arsR__b3501__JW3468	arsR__b3501__JW3468	P37309	P37309	LIT
uspG__b0607__JW0600	artJ__b0860__JW0844	P39177	P30860	LIT
