NAME	Log2FC
FABG	0.539279864
CYAY	0.524115394
GYRB	0.519936441
UPPP	0.500707918
VALX	0.498583251
AROD	0.487887655
IS3	0.485613952
MURD	0.484670507
NUDC	0.484349781
FLIM	0.480692054
IRAD	0.464372874
GLMM	0.460803192
PSIB	0.457395198
TRKD	0.446124139
LIGA	0.443857358
MAZG	0.436833354
FLHC	0.434532779
FOLP	0.420671117
UNG	0.418712801
DICF2	0.418500434
MURB	0.399901183
DAPA	0.375577879
FLGG	0.366632937
PGAB	0.351344505
TDH	0.334696042
GLYX	0.332905588
CPXP	0.32378011
NFRB	0.323746108
BIRA	0.322435947
XERD	0.306970155
TLDD	0.306736215
PPID	0.303363428
DCD	0.289049251
ALAW	0.277188843
PANB	0.276651954
NIRD	0.273002603
OMPC	0.272252365
EMRE	0.268690581
UREE	0.264195823
CYSB	0.263507752
LPXC	0.262246252
IS629	0.258809789
NAPH	0.23287015
RIBA	0.231363363
CYST	0.228481186
PANC	0.211509149
NDK	0.210826343
DACD	0.198797842
TAGA	0.192995888
ESPY1	0.189204703
OMPL	0.180960566
NIKB	0.176888774
FLIH	0.168212254
TAUB	0.161830693
NUDE	0.159759688
THIQ	0.155508235
CBL	0.147334459
CYSE	0.140652458
FTSB	0.133729243
FRR	0.133231549
MODC	0.129660548
HSLU	0.116361944
PSTB	0.111099882
PSTC	0.103327384
NIKE	0.097306166
FMT	0.094231942
WCAD	0.085632493
UGPQ	0.078959897
GLPE	0.078775575
FLGI	0.076680923
SOLA	0.074990463
ILEZ6	0.070542441
AROL	0.059624519
NAPG	0.049576494
HEMH	0.046478349
ARNT	0.046331916
THIE	0.042907476
TRER	0.033174054
PCM	0.028757294
METN	0.025202747
TYRA	0.01597008
THRL	0.008734756
FRCK	0.00561891
KATE	0.005436387
TSSI	0.005243722
FOLB	0.004671925
MOAD	0.003865178
NAPB	0.000753661
ARGN4	0
ASPT	0
FLIQ	0
RRFA	0
RRFB	0
RRFC	0
RRFH	0
THRV	0
TRNA99	0
CLPP	-0.006992761
TRPA	-0.007689377
SSPA	-0.007815006
DCUC	-0.010042106
LETB	-0.017961338
DICF1	-0.022866968
COPA	-0.026551549
SUFC	-0.028245773
TOLC	-0.033201263
YHAJ	-0.035017068
HYBD	-0.036047056
RIBD	-0.039538837
YCCA	-0.04735999
HEME	-0.047385791
PSIA	-0.054383601
ETPE	-0.062020652
MDTO	-0.077683358
ASNV	-0.079475641
RUVA	-0.089176397
COBS	-0.105767432
SSB	-0.121073851
TRXA	-0.123545904
PSSA	-0.123872195
FTSX	-0.124086384
SSUC	-0.133841085
RPOE	-0.139002368
DEOD	-0.139340799
GREB	-0.140849077
DICF3	-0.151935278
MOAC	-0.154564167
PHNK	-0.154783501
GROEL	-0.158077234
GPSA	-0.166451438
AROG	-0.1712513
VALW	-0.177679446
TATA	-0.1843775
MOAE	-0.186365633
ASPV	-0.203832105
GLYV	-0.207159357
RRLB	-0.220588661
SOPB	-0.226543205
GCVR	-0.226898813
DDL	-0.229438829
DGT	-0.232385256
THIH	-0.23400846
NUDF	-0.236120746
CPXR	-0.247305306
TAUD	-0.250654457
RHTB	-0.255841512
UMUC	-0.259539979
PHOR	-0.265228588
RELA	-0.278679149
MTGA	-0.279214834
LDCA	-0.281139916
ARGW	-0.293235525
ILEZ3	-0.301500933
VALU	-0.30186388
GLPX	-0.30255762
CSPE	-0.303147647
WCAM	-0.303237311
ACPD	-0.306239226
RECC	-0.310739534
PFLA	-0.316072434
ARGO1	-0.317434353
FRSA	-0.318408555
DING	-0.327251215
THIF	-0.330324692
EBGA	-0.333323358
BTUB	-0.333671998
HLYE	-0.346046087
FLGH	-0.354632073
PPNK	-0.360200112
FRLA	-0.368177815
PROC	-0.36890811
SOPA	-0.373155347
SBCB	-0.375703217
GROES	-0.376636257
GLNQ	-0.384411734
LACI	-0.399352698
EUTA	-0.403824732
UHPT	-0.406647729
SMPB	-0.407504816
HELD	-0.411551421
HFQ	-0.414967782
MINC	-0.421783101
MOGA	-0.422976331
ETPG	-0.425056975
FTSA	-0.429013392
TPX	-0.429388244
RRMJ	-0.433855422
FLIS	-0.444942992
ZNTA	-0.446111544
TAS	-0.454493405
NRDR	-0.458333521
HYCI	-0.458790825
THIG	-0.465096437
TOXB	-0.471832261
HYPA	-0.473845556
YBAJ	-0.485101674
YIEM	-0.498710353
PAPX	-0.531093069
FLIE	-0.533815221
ARGN1	-0.542072613
MRAW	-0.545242649
RHAB	-0.546170232
YEHT	-0.548852889
UBIE	-0.552867996
GGT	-0.559162179
COAE	-0.578304079
ACUI	-0.583275114
MSCL	-0.585377704
RNHA	-0.587854931
PPHA	-0.604171908
MAF	-0.604557139
MHPB	-0.608572537
METH	-0.613384629
FTSL	-0.619722763
GMHA	-0.620102414
FFS	-0.621751757
LAR	-0.627796182
CLS	-0.657031369
NLEF	-0.658377616
PSPB	-0.665073689
YEBG	-0.667719921
ETPJ	-0.669684771
GALM	-0.683386283
FABR	-0.689205848
SURE	-0.689339349
FOCB	-0.700613907
LYSS	-0.709756105
DNAK	-0.711097654
KDPD	-0.714927719
FLGD	-0.715193216
MIAA	-0.732605865
TAUA	-0.756445462
KLCA	-0.75889678
HEMD	-0.758919676
PFLD	-0.76522681
FUR	-0.771600799
COBU	-0.783475699
AMPC	-0.7877318
ETPC	-0.800019069
MHPD	-0.822505622
RPME2	-0.822823118
RUMA	-0.825310765
ILEZ1	-0.826916484
SUFA	-0.841397386
UGPC	-0.843134228
COBT	-0.853614847
THRU	-0.856172488
RRLD	-0.859604812
RSMD	-0.859955673
ETPO	-0.863629872
FLID	-0.871149466
DKGB	-0.872148397
THIC	-0.877433267
DAPF	-0.901296368
FIXB	-0.920318643
ZNTR	-0.92232703
ARGU	-0.925532994
CYSW	-0.926032517
MINE	-0.933969967
VALV	-0.944734961
SERU	-0.950329389
YEBU	-0.95595417
LACZ	-0.956769851
GLNP	-0.957482799
FOLX	-0.964609257
DEOA	-0.965719078
PSPF	-0.98290333
IHFA	-0.983160043
ETPI	-0.990814274
PGAA	-0.996234447
TREF	-1.000840924
FLGB	-1.012377995
XYLE	-1.014770509
FOLE	-1.015587445
YQJA	-1.027552089
RECT	-1.029851853
RIHB	-1.031190025
PRPB	-1.043232495
ADRA	-1.043715949
CYSG	-1.046944358
HEMC	-1.074378696
PRPE	-1.080959995
FLIG	-1.083854485
KIL	-1.096707127
FADR	-1.106071883
FLHA	-1.11797998
MTLR	-1.118020031
GLNH	-1.128874777
EBGC	-1.131234418
ILET	-1.142072268
ASNU	-1.152429599
FLGL	-1.155422132
NLPE	-1.180363531
DEF	-1.189666243
SSRA	-1.19004841
SPY	-1.195454336
FLIJ	-1.200550577
QUEC	-1.205400787
LER	-1.229519527
MSRP	-1.232937771
CLPS	-1.233341547
YEBE	-1.246581735
ARGO3	-1.273803021
SERW	-1.281271518
ETPH	-1.285608021
PEPN	-1.289120163
DKSA	-1.316843832
ETPF	-1.323734703
NAGB	-1.329825737
ILEV	-1.330041648
GLK	-1.337351321
GABD	-1.338138461
FLGK	-1.347954038
HLYA	-1.360986911
MGSA	-1.369616432
ULAD	-1.37720694
CYSJ	-1.387621211
LACA	-1.402441762
ESPP	-1.40593095
POTE	-1.419951124
GLGA	-1.420880462
FTSI	-1.448019455
GCVT	-1.466955615
GRXA	-1.474371535
CCRB	-1.487031348
POTG	-1.501499422
DKGA	-1.502008445
DIND	-1.520943019
ETPK	-1.541963326
HLYC	-1.553363873
SPF	-1.568888717
MOBA	-1.571922865
CYSN	-1.592917788
MOAA	-1.607551097
ILEZ4	-1.621715419
RNPB	-1.646078255
GCVB	-1.658234155
CHAB	-1.658372361
FLHB	-1.704803471
EMRD	-1.717651526
FLIA	-1.72080316
NAGA	-1.720846028
FRLB	-1.756186803
PHEV	-1.76015759
BIOD	-1.77660035
CADB	-1.77948422
FLGA	-1.781930563
OMPR	-1.838703096
ETPL	-1.841679593
LACY	-1.842731428
RRLE	-1.843029132
RRAA	-1.940811359
RRLH	-1.949932882
