hlyB	-2.345472281
ompF	-2.348869493
ssrS	-2.406224604
glpQ	-2.423432997
srlR	-2.426001393
leuO	-2.455274008
nlpD	-2.475188111
crl	-2.485453635
eutD	-2.539469593
ssuB	-2.543029248
fbpC	-2.638827233
clpA	-2.639159024
nleG	-2.643097909
ubiC	-2.668321436
nrfA	-2.679324063
rrsH	-2.690781546
malQ	-2.73809087
glpD	-2.750887803
gntK	-2.766283252
ubiA	-2.863989789
gldA	-2.889907374
fadL	-2.939462656
gatY	-2.95908797
sseA	-3.123324841
malS	-3.173840699
csrB	-3.305865773
araG	-3.346869281
sucA	-3.409205198
glpC	-3.431175932
ansB	-3.437680254
fucI	-3.479611471
aceK	-3.574873109
araD	-3.583005511
actP	-3.711080272
puuD	-3.733142072
glpT	-3.769690623
lldD	-3.800871589
gltA	-4.039803416
xylF	-4.134633862
selC	-4.161558519
asnT	-4.229503208
rihA	-4.245682679
aphA	-4.252876668
garR	-4.253016823
lldR	-4.324493178
fadA	-4.340393264
aspA	-4.494824307
glpK	-4.576403021
glpA	-4.722424256
astD	-4.759530104
argD	-4.833240922
fumC	-4.963269371
fadJ	-5.283706037
ftnB	-5.379770191
cmtB	-5.456718595
putA	-5.465939612
sdhB	-5.479550857
sdhD	-5.658819459
sdhA	-5.807571717
fadI	-5.837611892
sdhC	-5.856321939
rbsC	-5.86317816
dadX	-5.963481859
unknown	-5.972118332
malG	-5.995241964
yhaO	-6.042462236
mglC	-6.1892457
fadE	-6.193187919
malF	-6.530448165
malE	-6.774767206
fadH	-6.79561612
fadB	-6.838766902
yahN	-6.858092698
trmJ	-6.925803669
mglA	-6.92715623
acs	-6.942984921
lamB	-7.008387041
rbsD	-7.072241763
mhpR	-7.180736287
mglB	-7.22741238
tnaB	-7.30203813
yqeC	-7.433999302
ychH	-7.446332907
malK	-7.4963831
tnaA	-7.527879548
pheL	-7.704981472
